영상제목,영상링크,조회수,썸네일 주소
옷만 두고 외출했더니 강아지가.. ㅠㅠ,http://www.youtube.com/watch?v=qZx37fCBq4w,28710,https://i.ytimg.com/vi/qZx37fCBq4w/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDPCgss5uCNNKhnMwhyoh7N7Qw04g
산책을 못 가는데 더 신난 강아지들ㅋㅋ,http://www.youtube.com/watch?v=UC9opgznc7A,103356,https://i.ytimg.com/vi/UC9opgznc7A/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAZZovbHUrDOCDXnLfs37uL4awo-g
강아지에게 마사지기를 사주면 생기는 일,http://www.youtube.com/watch?v=ipf2PeyRdlU,170734,https://i.ytimg.com/vi/ipf2PeyRdlU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBUvh-UnMneWOwwhr4I9AfOliixmA
강아지를 위한 공사중..춥다,http://www.youtube.com/watch?v=kC6VXU6R9ns,1463,https://i.ytimg.com/vi/kC6VXU6R9ns/hqdefault_live.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAgLm6K-kOInGcfS06hfuYLd4EJKQ
[SUB] 강아지의 100일간의 성장과정,http://www.youtube.com/watch?v=S8baeh8OyR0,7447609,https://i.ytimg.com/vi/S8baeh8OyR0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmFQifzF7Bi15DOZH5o0XvgzPC-A
아기와 강아지의 15개월간의 성장기,http://www.youtube.com/watch?v=yn9d3VHhHMc,982735,https://i.ytimg.com/vi/yn9d3VHhHMc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB4UM_5YHvfoZkawlrOxgYE_c61HA
할머니 왈! 오이 먹는데 도사인 강아지,http://www.youtube.com/watch?v=VZsqHtv-n-s,6823,https://i.ytimg.com/vi/VZsqHtv-n-s/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4QLbnGCaxRkmZwbwJlUbZNb9hHQ
[로블록스] 우주 꽃게!! 파랑 강아지!! 헤드크랩! 위닝 스마일!  Trevor Creatures New,http://www.youtube.com/watch?v=tGuNLxw44pA,468,https://i.ytimg.com/vi/tGuNLxw44pA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9maMmqOF3bjwx8_32RTSq27UbtA
아기 강아지가 왔어요!,http://www.youtube.com/watch?v=W16KeTlI_20,1861909,https://i.ytimg.com/vi/W16KeTlI_20/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC9cJgtM4EAEcoAitsMu0_KjLItBg
3분만에 강아지 키우고 싶어지는 틱톡 댕댕이 영상ㅋㅋㅋㅋㅋㅋ♥ 너무 귀여워...ㅜㅜ,http://www.youtube.com/watch?v=TwzkanNbGEg,285016,https://i.ytimg.com/vi/TwzkanNbGEg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDVFHZBEb7F00uCqqVrk8M3yukGBQ
강아지 유치원에서 여름이 오면 하는 일,http://www.youtube.com/watch?v=hwaGYlFm8uw,1777583,https://i.ytimg.com/vi/hwaGYlFm8uw/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDyChDhAqdkD8Bilx7BhtC6pa_6FA
포메라니안 강아지 1년 성장과정,http://www.youtube.com/watch?v=qU3YWxggFMs,95493,https://i.ytimg.com/vi/qU3YWxggFMs/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBAVXMqJGhnDbSLZI2skQ_HWGJOCg
매일 아침 주인은 몰랐던 강아지의 행동,http://www.youtube.com/watch?v=qr6P29pCICs,25123039,https://i.ytimg.com/vi/qr6P29pCICs/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCe0rLVkn6cZYvqcmgkBcjnIZprTQ
깊은 물에 빠뜨리는 척! 강아지 속이기ㅋㅋㅋ,http://www.youtube.com/watch?v=NAPVkBAoQT8,46906766,https://i.ytimg.com/vi/NAPVkBAoQT8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBQS7oVrFMSSUjYjpyOgISv17xqVg
대한민국 1등으로 못된 강아지,http://www.youtube.com/watch?v=80ISJojkoxY,413862,https://i.ytimg.com/vi/80ISJojkoxY/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCPem5Tc4hnvP5L-LB0g0o_UqeDBA
"강아지 중독 여자친구, 제발 좀 말려주세요 [무엇이든 물어보살]",http://www.youtube.com/watch?v=4mCBk_wFzeE,705559,https://i.ytimg.com/vi/4mCBk_wFzeE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBpxUNulH_46ulJDbRbPv38zlrkFA
"기분업되는 경쾌한 재즈🎺강아지 힐링음악, 외출시 틀어주세요 / 분리불안해소, 수면유도, 심리안정 (jazz, dog music)",http://www.youtube.com/watch?v=gH7xdg7jLt8,714,https://i.ytimg.com/vi/gH7xdg7jLt8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBc6BJjROAD-5g5W3FkZ301zMM8UA
새로 태어난 동생을 너무나 사랑하는 강아지,http://www.youtube.com/watch?v=Q5BVmwWZkEk,16442635,https://i.ytimg.com/vi/Q5BVmwWZkEk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB1Gw3WifFiFX4E7NX8cXXr8IQ-zw
가슴 높이까지 쌓인 눈을 본 강아지의 반응ㅋㅋㅋㅋㅋㅋ,http://www.youtube.com/watch?v=BPvNFRGGxA0,119551,https://i.ytimg.com/vi/BPvNFRGGxA0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDgeYxUZSQewsbWYu7ePNVVFu0DfQ
20210131 +강아지 이야기,http://www.youtube.com/watch?v=XqY1sjFAWn4,31598,https://i.ytimg.com/vi/XqY1sjFAWn4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDlx8nv8NAbwMuLEt-7VOTl_ws9xw
강아지 놀리면 혼납니다 (스트레이키즈 승민 말투),http://www.youtube.com/watch?v=kWP3fU6Tr6c,652,https://i.ytimg.com/vi/kWP3fU6Tr6c/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD-7McdVj8QxKPrNeHJbD4quxKddQ
가족들과 헤어진 강아지의 반응_영영 못보는줄 아나봐요😭,http://www.youtube.com/watch?v=oWr4Y4xDea8,3158,https://i.ytimg.com/vi/oWr4Y4xDea8/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCgpN5j2bRPi2ni5iRJwRPlarax1A
잘못해 놓고 시치미 뚝떼는 강아지ㅋㅋ누가봐도 범인은 너거든ㅋㅋ,http://www.youtube.com/watch?v=MmbWzNG9l00,4456,https://i.ytimg.com/vi/MmbWzNG9l00/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCHPJK7Ds5_SZzFfeeUCErIx8n9XA
친구가 사라지고 편의점 앞 망부석이 된 강아지..ㅣDog Wouldn't Move At All In Front Of A Convenience Store,http://www.youtube.com/watch?v=A3UpNbM0nt0,30576,https://i.ytimg.com/vi/A3UpNbM0nt0/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBR-SJVraUJrpx4F-ddKMo49yi1dg
(Eng Sub)반겨주는 강아지 A Puppy Welcoming My Friend Home 강아지 반겨주는 영상입니다. 퇴근 후 집에 온 동생 강아지 반응 한번 보세요 삽살개 티나,http://www.youtube.com/watch?v=WxdCe-XZpyc,11,https://i.ytimg.com/vi/WxdCe-XZpyc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyhMBaoqk-yKPFT7BvXKxTZFXmjg
강아지 유모차 이상하게 타는 강아지 | 포메라니안 식빵 엉덩이,http://www.youtube.com/watch?v=wLG0cXTpFhg,4007,https://i.ytimg.com/vi/wLG0cXTpFhg/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBGuJ4Ia5NVCkXmT8bc4wzDHtHdmQ
식탐 쪄~는 강아지🐶,http://www.youtube.com/watch?v=qbSJOaCDBNQ,14846,https://i.ytimg.com/vi/qbSJOaCDBNQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBWmiHvKo0WgRf9BaEXcTV3TdDoKw
강아지 대왕 쿄호젤리 먹방ASMR / 사람만 먹냐! 나도 먹고싶었댕,http://www.youtube.com/watch?v=ZjPBfXygDx8,26276651,https://i.ytimg.com/vi/ZjPBfXygDx8/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAduh2Utn83wScXs1EQJGkOaV5pvw
배꼽빠질 웃긴 강아지 영상 모음 ★ 세계에서 가장웃긴 강아지 영상ㅋㅋㅋㅋㅋㅋㅋ#222,http://www.youtube.com/watch?v=H-r4o-ljUqQ,12811976,https://i.ytimg.com/vi/H-r4o-ljUqQ/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCf-uJ2MEne-tEYvIsGNYdvHgdWvw
아기가 계속 울어서 강아지들이 걱정을 해요,http://www.youtube.com/watch?v=V-KIOnlNPK4,1245810,https://i.ytimg.com/vi/V-KIOnlNPK4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCBMM_j6ZcxHUnN-kgNzx64tfoBPg
강아지 번역기로 엄지의 속마음을 들어 봤더니?ㅋㅋㅋ(흔한남매),http://www.youtube.com/watch?v=-WAtSnwGHu4,1165350,https://i.ytimg.com/vi/-WAtSnwGHu4/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBj-mc6cdM_HYB0O67dBGkX1IMOQA
말티즈 강아지 태어나서 30일 동안의 성장일기,http://www.youtube.com/watch?v=Xjbn9iguj70,2595363,https://i.ytimg.com/vi/Xjbn9iguj70/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAAhjvV4nFOKOvecHPSz2xh9l-uRA
처음 신발신고 고장난 강아지들,http://www.youtube.com/watch?v=Fnw48VLwLjU,700708,https://i.ytimg.com/vi/Fnw48VLwLjU/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAo1O7RsL-LGYmwjV_Cqx9ba3-mMQ
고구마에 진심인 강아지,http://www.youtube.com/watch?v=lhzAe84qqiI,39821,https://i.ytimg.com/vi/lhzAe84qqiI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA9NC399xaJ7PsnFcTEYmHrpVkoyw
신혼부부에게 강아지가 있으면 안되는이유ㅋㅋㅋㅋㅋㅋ,http://www.youtube.com/watch?v=36WGve2y9lM,762501,https://i.ytimg.com/vi/36WGve2y9lM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCSZNMbtPf4J_6mhup9v_3bam0QqQ
강아지 키우면 고작 소파 하나 옮기는 것도 힘든 이유..,http://www.youtube.com/watch?v=1PhVuVoessA,15392,https://i.ytimg.com/vi/1PhVuVoessA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBAcdkjctOd3NEMP0na3WWyFGnJ5g
말대꾸하는 아기강아지 (어이없음),http://www.youtube.com/watch?v=Ro0xBh1XPok,3161538,https://i.ytimg.com/vi/Ro0xBh1XPok/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAlKd5WHPtsqkGEvjBTN6XHKVW9zA
깊고 좁은 환풍구에서 6일째 들려오는 강아지 울음소리.. ㅣDog Stuck Deep In The Hole For 6 Days.. As Soon As She Bawls,http://www.youtube.com/watch?v=7GfS6C1f2yw,286651,https://i.ytimg.com/vi/7GfS6C1f2yw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDJZq9XY1jsRMpI2v6l3cIhotmgTg
강아지에게 생일선물 달라고 졸랐더니...,http://www.youtube.com/watch?v=3KKlcKt7Zac,603593,https://i.ytimg.com/vi/3KKlcKt7Zac/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7SJC3wYdWsIP6G8KQCNSwZV33tg
발 시려워 짜증난 강아지,http://www.youtube.com/watch?v=btrOhu0alnA,807544,https://i.ytimg.com/vi/btrOhu0alnA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCtpqHbzOONsJvzos8P2Cc9b7v7_A
강아지가 아기를 돌보려고해요! (강아지의 놀라운 모성본능),http://www.youtube.com/watch?v=csIG1tADX8w,2057310,https://i.ytimg.com/vi/csIG1tADX8w/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAsQDQ80bVX3uLVmv2FksTjnDhEqQ
주인들 없을 때 고양이가 불안해하는 강아지 달래주는 법,http://www.youtube.com/watch?v=Mj70yQh1EkI,1226658,https://i.ytimg.com/vi/Mj70yQh1EkI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAXOzkXqOi88bsV0T8dzVP8o1dPaw
사료 두알만 줬더니 강아지의 반응ㅋㅋㅋㅋㅋㅋ,http://www.youtube.com/watch?v=j2EDbWeVacc,419362,https://i.ytimg.com/vi/j2EDbWeVacc/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCcrv8xzuzOzkSCIQiEmRXscOcLiA
강아지 앞에 결계를 설치했더니 생긴 일,http://www.youtube.com/watch?v=XZXKM2wHlKE,1927426,https://i.ytimg.com/vi/XZXKM2wHlKE/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAx3u7r43ExzGqJFuHLZSycrOQUNg
수줍음이 많은 강아지가 사람을 좋아하는 법ㅣSuper Shy Dog Is Cute,http://www.youtube.com/watch?v=DGLWvBgZz6Q,967477,https://i.ytimg.com/vi/DGLWvBgZz6Q/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLByffP4Ynv32NOdcAPyD6enTr_Tmw
자기 털로 만든 공이 새끼 강아지인 줄 알고 옆에서 지켜주는 강아지 ㅠㅠㅠ,http://www.youtube.com/watch?v=SCvsBJzrEoo,232968,https://i.ytimg.com/vi/SCvsBJzrEoo/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAcCSzs_Rv1ExEKXfy2ACUIu19MNA
엄지 미용하다! 원래 이런강아지 였다고? 숨겨진 미모 공개!,http://www.youtube.com/watch?v=Sj0G9zjmOVM,200649,https://i.ytimg.com/vi/Sj0G9zjmOVM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCkG7Rm0jkJ40jGDaw7U6tXsPck-w
스크래쳐를 살려달라는 강아지,http://www.youtube.com/watch?v=XFTx1XWL4Ug,121569,https://i.ytimg.com/vi/XFTx1XWL4Ug/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAf88iZcIf4rBCT6McXHzz4ziAP4A
[2020]배꼽 빠지게 웃긴 고양이와 강아지😸🐶 & 기타 영상모음 #50 Dogs and Cat Funny Moments | Funny Animals Compilation #50,http://www.youtube.com/watch?v=igDC09nd2sw,557151,https://i.ytimg.com/vi/igDC09nd2sw/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCrn12jXAJvccOcqyBqRrUGY-zyxQ
엄마가 너무 좋아서 우는 강아지,http://www.youtube.com/watch?v=ExwBQQhJTr4,626190,https://i.ytimg.com/vi/ExwBQQhJTr4/hqdefault.jpg?sqp=-oaymwEcCOADEI4CSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCx3QXdw3vqh8t6lODaI3GnYysO6A
애교쟁이 강아지를 회사에 데려가면 생기는 일,http://www.youtube.com/watch?v=jK0q7-6QJmA,728325,https://i.ytimg.com/vi/jK0q7-6QJmA/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBucOGWm0oV7M5EvDlE0f4wPpWJGg
세계에서 가장 비싼 강아지 품종 Top 10 !!,http://www.youtube.com/watch?v=62EjbCDPYlk,1626104,https://i.ytimg.com/vi/62EjbCDPYlk/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDYtnNMsonVv_IDZHZhd0OeKxWrYg
안락사 위기에 처한 강아지를 데려왔습니다.. [예씨 yessii],http://www.youtube.com/watch?v=H4S8IzdiGwI,662416,https://i.ytimg.com/vi/H4S8IzdiGwI/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBSS39AZivBsetfF1NA5CWOuVY4Mg
강아지 꽃님이 썸네일 보고도 그냥 지나치면 심장이 화낼거에요,http://www.youtube.com/watch?v=kaAn4xguHUM,131826,https://i.ytimg.com/vi/kaAn4xguHUM/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAHfd6-l52mUC4_7bq56jzug7clvA
[몰카] ENG CN) 서로 누군지 모르는 둘을 본다면?! 강아지 데리고 산책 나온 미녀분 호흡곤란 ㅋㅋㅋㅋㅋ,http://www.youtube.com/watch?v=DgSnSv64tfQ,645026,https://i.ytimg.com/vi/DgSnSv64tfQ/hq720.jpg?sqp=-oaymwEcCOgCEMoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAoJIAZ88QePV756ZnVvb9oYucudQ
